  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0306738,  Residual: 0.00139282 
  1 TAO,  Function value: 0.0299448,  Residual: 0.000828448 
  2 TAO,  Function value: 0.0292605,  Residual: 0.000393617 
  3 TAO,  Function value: 0.0288127,  Residual: 0.00028431 
  4 TAO,  Function value: 0.0277897,  Residual: 0.000206266 
  5 TAO,  Function value: 0.0261685,  Residual: 0.000185432 
  6 TAO,  Function value: 0.0257148,  Residual: 0.00107008 
  7 TAO,  Function value: 0.024664,  Residual: 0.000165673 
  8 TAO,  Function value: 0.0242913,  Residual: 0.000166997 
  9 TAO,  Function value: 0.0238249,  Residual: 0.000188692 
 10 TAO,  Function value: 0.0232808,  Residual: 0.00013572 
 11 TAO,  Function value: 0.0228883,  Residual: 0.000116176 
 12 TAO,  Function value: 0.0226841,  Residual: 9.07042e-05 
 13 TAO,  Function value: 0.0225169,  Residual: 8.44644e-05 
 14 TAO,  Function value: 0.0224224,  Residual: 0.000127113 
 15 TAO,  Function value: 0.0222533,  Residual: 8.97614e-05 
 16 TAO,  Function value: 0.0221198,  Residual: 7.95164e-05 
 17 TAO,  Function value: 0.0219665,  Residual: 0.000116779 
 18 TAO,  Function value: 0.0218263,  Residual: 7.01387e-05 
 19 TAO,  Function value: 0.0217863,  Residual: 7.05549e-05 
 20 TAO,  Function value: 0.0216273,  Residual: 5.96547e-05 
 21 TAO,  Function value: 0.0215203,  Residual: 0.000140941 
 22 TAO,  Function value: 0.0214124,  Residual: 7.27893e-05 
 23 TAO,  Function value: 0.0213547,  Residual: 5.56655e-05 
 24 TAO,  Function value: 0.0213431,  Residual: 6.44562e-05 
 25 TAO,  Function value: 0.0212838,  Residual: 4.88406e-05 
 26 TAO,  Function value: 0.0211989,  Residual: 4.12027e-05 
 27 TAO,  Function value: 0.0210867,  Residual: 3.51229e-05 
 28 TAO,  Function value: 0.021075,  Residual: 6.48156e-05 
 29 TAO,  Function value: 0.0210428,  Residual: 2.91563e-05 
 30 TAO,  Function value: 0.0210329,  Residual: 2.74e-05 
 31 TAO,  Function value: 0.0210105,  Residual: 2.25449e-05 
 32 TAO,  Function value: 0.0209914,  Residual: 1.97875e-05 
 33 TAO,  Function value: 0.020978,  Residual: 1.88341e-05 
 34 TAO,  Function value: 0.0209666,  Residual: 1.55708e-05 
 35 TAO,  Function value: 0.0209566,  Residual: 1.73471e-05 
 36 TAO,  Function value: 0.0209482,  Residual: 1.73836e-05 
 37 TAO,  Function value: 0.0209446,  Residual: 1.88159e-05 
 38 TAO,  Function value: 0.0209326,  Residual: 1.7764e-05 
 39 TAO,  Function value: 0.0209179,  Residual: 1.86495e-05 
 40 TAO,  Function value: 0.0209116,  Residual: 2.27687e-05 
 41 TAO,  Function value: 0.0209102,  Residual: 2.38941e-05 
 42 TAO,  Function value: 0.0209089,  Residual: 2.22064e-05 
 43 TAO,  Function value: 0.0208992,  Residual: 2.13073e-05 
 44 TAO,  Function value: 0.0208867,  Residual: 1.78691e-05 
 45 TAO,  Function value: 0.0208774,  Residual: 1.89477e-05 
 46 TAO,  Function value: 0.0208604,  Residual: 1.44319e-05 
 47 TAO,  Function value: 0.0208535,  Residual: 1.09133e-05 
 48 TAO,  Function value: 0.0208477,  Residual: 1.13334e-05 
 49 TAO,  Function value: 0.0208397,  Residual: 1.25002e-05 
 50 TAO,  Function value: 0.0208341,  Residual: 1.73656e-05 
 51 TAO,  Function value: 0.0208263,  Residual: 1.83024e-05 
 52 TAO,  Function value: 0.0208248,  Residual: 1.96638e-05 
 53 TAO,  Function value: 0.0208239,  Residual: 1.86614e-05 
 54 TAO,  Function value: 0.0208212,  Residual: 1.83278e-05 
 55 TAO,  Function value: 0.020814,  Residual: 1.66922e-05 
 56 TAO,  Function value: 0.0208025,  Residual: 1.13774e-05 
 57 TAO,  Function value: 0.0207959,  Residual: 8.88569e-06 
 58 TAO,  Function value: 0.020791,  Residual: 7.89231e-06 
 59 TAO,  Function value: 0.0207863,  Residual: 7.86971e-06 
 60 TAO,  Function value: 0.0207822,  Residual: 1.35371e-05 
 61 TAO,  Function value: 0.0207759,  Residual: 1.29463e-05 
 62 TAO,  Function value: 0.0207695,  Residual: 1.42273e-05 
 63 TAO,  Function value: 0.0207637,  Residual: 1.65285e-05 
 64 TAO,  Function value: 0.0207634,  Residual: 2.03511e-05 
 65 TAO,  Function value: 0.0207625,  Residual: 1.9226e-05 
 66 TAO,  Function value: 0.0207541,  Residual: 1.80156e-05 
 67 TAO,  Function value: 0.0207372,  Residual: 1.75737e-05 
 68 TAO,  Function value: 0.0207221,  Residual: 1.33918e-05 
 69 TAO,  Function value: 0.020717,  Residual: 1.29872e-05 
 70 TAO,  Function value: 0.0207084,  Residual: 1.02261e-05 
 71 TAO,  Function value: 0.0207039,  Residual: 1.26188e-05 
 72 TAO,  Function value: 0.0207022,  Residual: 1.38288e-05 
 73 TAO,  Function value: 0.0207014,  Residual: 1.24701e-05 
 74 TAO,  Function value: 0.0206981,  Residual: 1.07508e-05 
 75 TAO,  Function value: 0.0206905,  Residual: 8.70591e-06 
 76 TAO,  Function value: 0.020685,  Residual: 9.69243e-06 
 77 TAO,  Function value: 0.0206783,  Residual: 8.15341e-06 
 78 TAO,  Function value: 0.020673,  Residual: 9.12176e-06 
 79 TAO,  Function value: 0.0206682,  Residual: 8.38598e-06 
 80 TAO,  Function value: 0.0206643,  Residual: 9.44035e-06 
 81 TAO,  Function value: 0.0206635,  Residual: 1.10177e-05 
 82 TAO,  Function value: 0.0206613,  Residual: 1.0436e-05 
 83 TAO,  Function value: 0.0206586,  Residual: 9.53486e-06 
 84 TAO,  Function value: 0.020654,  Residual: 1.01325e-05 
 85 TAO,  Function value: 0.020652,  Residual: 1.27916e-05 
 86 TAO,  Function value: 0.0206504,  Residual: 1.23102e-05 
 87 TAO,  Function value: 0.0206475,  Residual: 1.16298e-05 
 88 TAO,  Function value: 0.0206445,  Residual: 1.06295e-05 
 89 TAO,  Function value: 0.020642,  Residual: 1.27495e-05 
 90 TAO,  Function value: 0.0206419,  Residual: 1.13352e-05 
 91 TAO,  Function value: 0.0206343,  Residual: 6.83749e-06 
 92 TAO,  Function value: 0.0206294,  Residual: 5.22622e-06 
 93 TAO,  Function value: 0.0206274,  Residual: 6.21477e-06 
 94 TAO,  Function value: 0.0206259,  Residual: 4.51893e-06 
 95 TAO,  Function value: 0.0206247,  Residual: 4.1494e-06 
 96 TAO,  Function value: 0.0206227,  Residual: 5.74728e-06 
 97 TAO,  Function value: 0.0206209,  Residual: 4.99496e-06 
 98 TAO,  Function value: 0.0206201,  Residual: 7.62549e-06 
 99 TAO,  Function value: 0.0206179,  Residual: 5.52775e-06 
100 TAO,  Function value: 0.0206158,  Residual: 4.72514e-06 
101 TAO,  Function value: 0.020615,  Residual: 5.03672e-06 
102 TAO,  Function value: 0.0206133,  Residual: 4.24796e-06 
103 TAO,  Function value: 0.020612,  Residual: 5.02069e-06 
104 TAO,  Function value: 0.0206103,  Residual: 4.23677e-06 
105 TAO,  Function value: 0.0206095,  Residual: 5.5829e-06 
106 TAO,  Function value: 0.0206088,  Residual: 4.87825e-06 
107 TAO,  Function value: 0.0206076,  Residual: 3.40938e-06 
108 TAO,  Function value: 0.0206069,  Residual: 4.53576e-06 
109 TAO,  Function value: 0.020606,  Residual: 3.51711e-06 
110 TAO,  Function value: 0.0206051,  Residual: 3.76839e-06 
111 TAO,  Function value: 0.0206043,  Residual: 3.8698e-06 
112 TAO,  Function value: 0.020604,  Residual: 4.7514e-06 
113 TAO,  Function value: 0.0206038,  Residual: 4.18695e-06 
114 TAO,  Function value: 0.0206035,  Residual: 0.000232797 
115 TAO,  Function value: 0.0206033,  Residual: 4.95752e-06 
116 TAO,  Function value: 0.0206032,  Residual: 4.09398e-06 
117 TAO,  Function value: 0.0206032,  Residual: 3.81769e-06 
118 TAO,  Function value: 0.0206032,  Residual: 0.000232726 
119 TAO,  Function value: 0.0206029,  Residual: 4.75766e-06 
120 TAO,  Function value: 0.0206029,  Residual: 7.07816e-06 
121 TAO,  Function value: 0.0206028,  Residual: 0.00023274 
122 TAO,  Function value: 0.0206028,  Residual: 0.00023273 
123 TAO,  Function value: 0.0206028,  Residual: 4.20969e-06 
124 TAO,  Function value: 0.0206027,  Residual: 2.41333e-06 
125 TAO,  Function value: 0.0206027,  Residual: 2.3995e-06 
126 TAO,  Function value: 0.0206026,  Residual: 0.000232822 
127 TAO,  Function value: 0.0206024,  Residual: 0.000232766 
128 TAO,  Function value: 0.0206024,  Residual: 0.000232759 
129 TAO,  Function value: 0.0206024,  Residual: 2.32296e-06 
130 TAO,  Function value: 0.0206024,  Residual: 2.56578e-06 
131 TAO,  Function value: 0.0206023,  Residual: 0.0001101 
132 TAO,  Function value: 0.0206023,  Residual: 0.000115754 
133 TAO,  Function value: 0.0206022,  Residual: 2.47365e-05 
134 TAO,  Function value: 0.0206022,  Residual: 4.18731e-05 
135 TAO,  Function value: 0.0206022,  Residual: 9.50038e-06 
136 TAO,  Function value: 0.0206022,  Residual: 2.84523e-06 
137 TAO,  Function value: 0.0206022,  Residual: 1.93743e-06 
138 TAO,  Function value: 0.0206022,  Residual: 0.000232752 
139 TAO,  Function value: 0.0206021,  Residual: 0.000232761 
140 TAO,  Function value: 0.0206021,  Residual: 0.000232756 
141 TAO,  Function value: 0.020602,  Residual: 0.000232104 
142 TAO,  Function value: 0.020602,  Residual: 0.0002316 
143 TAO,  Function value: 0.0206015,  Residual: 3.29211e-06 
144 TAO,  Function value: 0.0206015,  Residual: 1.90317e-05 
145 TAO,  Function value: 0.0206015,  Residual: 1.87036e-05 
146 TAO,  Function value: 0.0206014,  Residual: 1.90884e-05 
147 TAO,  Function value: 0.0206013,  Residual: 1.91376e-05 
148 TAO,  Function value: 0.0206013,  Residual: 6.26979e-06 
149 TAO,  Function value: 0.0206013,  Residual: 0.000232065 
150 TAO,  Function value: 0.0206013,  Residual: 4.1254e-06 
151 TAO,  Function value: 0.0206013,  Residual: 3.48938e-06 
152 TAO,  Function value: 0.0206013,  Residual: 0.000223096 
153 TAO,  Function value: 0.0206012,  Residual: 0.000224582 
154 TAO,  Function value: 0.0206011,  Residual: 0.00010708 
155 TAO,  Function value: 0.0206011,  Residual: 0.000109466 
156 TAO,  Function value: 0.0206011,  Residual: 3.69441e-06 
157 TAO,  Function value: 0.0206011,  Residual: 0.00020553 
158 TAO,  Function value: 0.020601,  Residual: 0.000205515 
159 TAO,  Function value: 0.020601,  Residual: 0.000205492 
160 TAO,  Function value: 0.020601,  Residual: 0.000205506 
161 TAO,  Function value: 0.020601,  Residual: 0.000204663 
162 TAO,  Function value: 0.020601,  Residual: 2.43782e-06 
163 TAO,  Function value: 0.020601,  Residual: 0.000111728 
164 TAO,  Function value: 0.020601,  Residual: 0.000114632 
165 TAO,  Function value: 0.020601,  Residual: 0.000111721 
166 TAO,  Function value: 0.020601,  Residual: 1.93965e-06 
167 TAO,  Function value: 0.020601,  Residual: 0.000204252 
168 TAO,  Function value: 0.020601,  Residual: 0.000204251 
169 TAO,  Function value: 0.020601,  Residual: 0.000204263 
170 TAO,  Function value: 0.020601,  Residual: 0.000204261 
171 TAO,  Function value: 0.020601,  Residual: 0.000204252 
172 TAO,  Function value: 0.0206009,  Residual: 1.37704e-06 
173 TAO,  Function value: 0.0206009,  Residual: 0.000111675 
174 TAO,  Function value: 0.0206009,  Residual: 0.000110907 
175 TAO,  Function value: 0.0206008,  Residual: 0.00011165 
176 TAO,  Function value: 0.0206008,  Residual: 1.75033e-06 
177 TAO,  Function value: 0.0206008,  Residual: 0.000204254 
178 TAO,  Function value: 0.0206008,  Residual: 6.1971e-05 
179 TAO,  Function value: 0.0206008,  Residual: 1.42751e-05 
180 TAO,  Function value: 0.0206008,  Residual: 0.000228915 
181 TAO,  Function value: 0.0206007,  Residual: 0.000228909 
182 TAO,  Function value: 0.0206007,  Residual: 0.000228917 
183 TAO,  Function value: 0.0206007,  Residual: 0.000226429 
184 TAO,  Function value: 0.0206007,  Residual: 6.85447e-05 
185 TAO,  Function value: 0.0206007,  Residual: 7.01855e-05 
186 TAO,  Function value: 0.0206007,  Residual: 1.31896e-06 
187 TAO,  Function value: 0.0206007,  Residual: 0.000221969 
188 TAO,  Function value: 0.0206007,  Residual: 0.00022194 
189 TAO,  Function value: 0.0206007,  Residual: 1.28684e-06 
190 TAO,  Function value: 0.0206007,  Residual: 7.01732e-05 
