  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0293741,  Residual: 0.000657881 
  1 TAO,  Function value: 0.0291748,  Residual: 0.000562334 
  2 TAO,  Function value: 0.028106,  Residual: 0.000288072 
  3 TAO,  Function value: 0.0272449,  Residual: 0.00022057 
  4 TAO,  Function value: 0.0253325,  Residual: 0.000180526 
  5 TAO,  Function value: 0.0241999,  Residual: 0.000197057 
  6 TAO,  Function value: 0.023977,  Residual: 0.000605 
  7 TAO,  Function value: 0.0231507,  Residual: 0.000160378 
  8 TAO,  Function value: 0.0229587,  Residual: 0.000120862 
  9 TAO,  Function value: 0.0227668,  Residual: 0.000123643 
 10 TAO,  Function value: 0.0225251,  Residual: 9.23919e-05 
 11 TAO,  Function value: 0.0222651,  Residual: 0.000116941 
 12 TAO,  Function value: 0.022154,  Residual: 9.98029e-05 
 13 TAO,  Function value: 0.0220051,  Residual: 7.86543e-05 
 14 TAO,  Function value: 0.0219862,  Residual: 0.000439698 
 15 TAO,  Function value: 0.0218803,  Residual: 0.000184644 
 16 TAO,  Function value: 0.0218799,  Residual: 0.000182358 
 17 TAO,  Function value: 0.0218766,  Residual: 0.000179188 
 18 TAO,  Function value: 0.0216954,  Residual: 0.000224704 
 19 TAO,  Function value: 0.0216619,  Residual: 0.000220096 
 20 TAO,  Function value: 0.0216311,  Residual: 0.000218058 
 21 TAO,  Function value: 0.0216263,  Residual: 0.000217762 
 22 TAO,  Function value: 0.0213837,  Residual: 8.7393e-05 
 23 TAO,  Function value: 0.0213831,  Residual: 8.93625e-05 
 24 TAO,  Function value: 0.0213805,  Residual: 8.43804e-05 
 25 TAO,  Function value: 0.0213786,  Residual: 5.91623e-05 
 26 TAO,  Function value: 0.0213783,  Residual: 6.4259e-05 
 27 TAO,  Function value: 0.0213616,  Residual: 5.59995e-05 
 28 TAO,  Function value: 0.0212969,  Residual: 5.69843e-05 
 29 TAO,  Function value: 0.0212609,  Residual: 4.54162e-05 
 30 TAO,  Function value: 0.021247,  Residual: 5.09082e-05 
 31 TAO,  Function value: 0.0212136,  Residual: 4.6516e-05 
 32 TAO,  Function value: 0.0211688,  Residual: 5.25954e-05 
 33 TAO,  Function value: 0.0211479,  Residual: 4.88227e-05 
 34 TAO,  Function value: 0.0211186,  Residual: 4.07415e-05 
 35 TAO,  Function value: 0.0211003,  Residual: 4.79749e-05 
 36 TAO,  Function value: 0.0210664,  Residual: 3.9125e-05 
 37 TAO,  Function value: 0.0210397,  Residual: 3.13392e-05 
 38 TAO,  Function value: 0.021016,  Residual: 3.17612e-05 
 39 TAO,  Function value: 0.0210087,  Residual: 2.51768e-05 
 40 TAO,  Function value: 0.0210004,  Residual: 2.6767e-05 
 41 TAO,  Function value: 0.0209884,  Residual: 1.92268e-05 
 42 TAO,  Function value: 0.0209729,  Residual: 1.85899e-05 
 43 TAO,  Function value: 0.0209594,  Residual: 1.53491e-05 
 44 TAO,  Function value: 0.0209482,  Residual: 1.55723e-05 
 45 TAO,  Function value: 0.0209383,  Residual: 1.95056e-05 
 46 TAO,  Function value: 0.020928,  Residual: 2.12274e-05 
 47 TAO,  Function value: 0.0209209,  Residual: 2.47718e-05 
 48 TAO,  Function value: 0.0209027,  Residual: 2.52479e-05 
 49 TAO,  Function value: 0.0208763,  Residual: 3.43819e-05 
 50 TAO,  Function value: 0.0208721,  Residual: 3.18194e-05 
 51 TAO,  Function value: 0.0208713,  Residual: 3.89568e-05 
 52 TAO,  Function value: 0.0208604,  Residual: 2.80978e-05 
 53 TAO,  Function value: 0.0208521,  Residual: 2.61202e-05 
 54 TAO,  Function value: 0.0208263,  Residual: 2.13428e-05 
 55 TAO,  Function value: 0.020802,  Residual: 2.40541e-05 
 56 TAO,  Function value: 0.0207937,  Residual: 1.27528e-05 
 57 TAO,  Function value: 0.0207891,  Residual: 9.35832e-06 
 58 TAO,  Function value: 0.0207838,  Residual: 8.04261e-06 
 59 TAO,  Function value: 0.0207797,  Residual: 8.16362e-06 
 60 TAO,  Function value: 0.0207765,  Residual: 7.7944e-06 
 61 TAO,  Function value: 0.0207746,  Residual: 6.84373e-06 
 62 TAO,  Function value: 0.0207732,  Residual: 7.01855e-06 
 63 TAO,  Function value: 0.0207724,  Residual: 9.3751e-06 
 64 TAO,  Function value: 0.0207706,  Residual: 8.89608e-06 
 65 TAO,  Function value: 0.0207686,  Residual: 6.67194e-06 
 66 TAO,  Function value: 0.0207667,  Residual: 7.67483e-06 
 67 TAO,  Function value: 0.0207657,  Residual: 8.71979e-06 
 68 TAO,  Function value: 0.0207657,  Residual: 8.69354e-06 
 69 TAO,  Function value: 0.0207635,  Residual: 6.93313e-06 
 70 TAO,  Function value: 0.0207616,  Residual: 6.01836e-06 
 71 TAO,  Function value: 0.0207604,  Residual: 7.26599e-06 
 72 TAO,  Function value: 0.020758,  Residual: 6.08039e-06 
 73 TAO,  Function value: 0.0207566,  Residual: 5.83217e-06 
 74 TAO,  Function value: 0.020755,  Residual: 7.08986e-06 
 75 TAO,  Function value: 0.0207546,  Residual: 7.52292e-06 
 76 TAO,  Function value: 0.0207539,  Residual: 7.52271e-06 
 77 TAO,  Function value: 0.0207536,  Residual: 8.56922e-06 
 78 TAO,  Function value: 0.0207532,  Residual: 8.16746e-06 
 79 TAO,  Function value: 0.0207528,  Residual: 8.24965e-06 
 80 TAO,  Function value: 0.0207516,  Residual: 7.18428e-06 
 81 TAO,  Function value: 0.0207494,  Residual: 6.07281e-06 
 82 TAO,  Function value: 0.020746,  Residual: 7.52598e-06 
 83 TAO,  Function value: 0.0207428,  Residual: 6.95612e-06 
 84 TAO,  Function value: 0.0207403,  Residual: 8.54936e-06 
 85 TAO,  Function value: 0.0207383,  Residual: 7.10648e-06 
 86 TAO,  Function value: 0.020737,  Residual: 6.88025e-06 
 87 TAO,  Function value: 0.0207369,  Residual: 6.98381e-06 
 88 TAO,  Function value: 0.0207364,  Residual: 7.02479e-06 
 89 TAO,  Function value: 0.0207353,  Residual: 7.05973e-06 
 90 TAO,  Function value: 0.0207326,  Residual: 6.59582e-06 
 91 TAO,  Function value: 0.0207299,  Residual: 5.7421e-06 
 92 TAO,  Function value: 0.020727,  Residual: 5.3701e-06 
 93 TAO,  Function value: 0.0207264,  Residual: 5.24784e-06 
 94 TAO,  Function value: 0.0207251,  Residual: 4.474e-06 
 95 TAO,  Function value: 0.0207237,  Residual: 4.82471e-06 
 96 TAO,  Function value: 0.0207228,  Residual: 5.08783e-06 
 97 TAO,  Function value: 0.0207218,  Residual: 6.44569e-06 
 98 TAO,  Function value: 0.0207216,  Residual: 6.74826e-06 
 99 TAO,  Function value: 0.020721,  Residual: 5.16346e-06 
100 TAO,  Function value: 0.0207199,  Residual: 5.82849e-06 
101 TAO,  Function value: 0.0207165,  Residual: 6.13287e-06 
102 TAO,  Function value: 0.0207155,  Residual: 6.6271e-06 
103 TAO,  Function value: 0.0207152,  Residual: 5.68916e-06 
104 TAO,  Function value: 0.0207137,  Residual: 4.59251e-06 
105 TAO,  Function value: 0.0207116,  Residual: 4.94792e-06 
106 TAO,  Function value: 0.0207112,  Residual: 5.28234e-06 
