  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0294808,  Residual: 0.000803002 
  1 TAO,  Function value: 0.0291997,  Residual: 0.000621162 
  2 TAO,  Function value: 0.0283546,  Residual: 0.000348317 
  3 TAO,  Function value: 0.0275295,  Residual: 0.000244073 
  4 TAO,  Function value: 0.0260338,  Residual: 0.000186669 
  5 TAO,  Function value: 0.0246524,  Residual: 0.000524472 
  6 TAO,  Function value: 0.0238731,  Residual: 0.000180616 
  7 TAO,  Function value: 0.0235743,  Residual: 0.00018407 
  8 TAO,  Function value: 0.0232152,  Residual: 0.00032438 
  9 TAO,  Function value: 0.0228668,  Residual: 0.000133232 
 10 TAO,  Function value: 0.0227549,  Residual: 0.00012416 
 11 TAO,  Function value: 0.0225743,  Residual: 0.000103197 
 12 TAO,  Function value: 0.0223962,  Residual: 0.000200004 
 13 TAO,  Function value: 0.0221699,  Residual: 9.99137e-05 
 14 TAO,  Function value: 0.0220473,  Residual: 9.76042e-05 
 15 TAO,  Function value: 0.0218395,  Residual: 0.000108332 
 16 TAO,  Function value: 0.0216956,  Residual: 8.69537e-05 
 17 TAO,  Function value: 0.0216122,  Residual: 8.29122e-05 
 18 TAO,  Function value: 0.021497,  Residual: 0.000111988 
 19 TAO,  Function value: 0.0214294,  Residual: 7.5066e-05 
 20 TAO,  Function value: 0.0213933,  Residual: 8.96542e-05 
 21 TAO,  Function value: 0.0213076,  Residual: 7.50151e-05 
 22 TAO,  Function value: 0.0211734,  Residual: 6.84701e-05 
 23 TAO,  Function value: 0.0210199,  Residual: 5.3862e-05 
 24 TAO,  Function value: 0.0209344,  Residual: 4.09714e-05 
 25 TAO,  Function value: 0.0208944,  Residual: 3.62675e-05 
 26 TAO,  Function value: 0.0208842,  Residual: 3.75974e-05 
 27 TAO,  Function value: 0.020868,  Residual: 3.07482e-05 
 28 TAO,  Function value: 0.0208402,  Residual: 2.2689e-05 
 29 TAO,  Function value: 0.020812,  Residual: 1.82191e-05 
 30 TAO,  Function value: 0.0207981,  Residual: 1.88001e-05 
 31 TAO,  Function value: 0.0207909,  Residual: 1.22201e-05 
 32 TAO,  Function value: 0.0207849,  Residual: 1.05258e-05 
 33 TAO,  Function value: 0.0207771,  Residual: 1.13747e-05 
 34 TAO,  Function value: 0.0207704,  Residual: 8.97174e-06 
 35 TAO,  Function value: 0.0207665,  Residual: 8.93315e-06 
 36 TAO,  Function value: 0.0207635,  Residual: 7.19332e-06 
 37 TAO,  Function value: 0.0207611,  Residual: 6.81675e-06 
 38 TAO,  Function value: 0.0207586,  Residual: 7.03474e-06 
 39 TAO,  Function value: 0.0207569,  Residual: 1.24364e-05 
 40 TAO,  Function value: 0.0207538,  Residual: 1.06813e-05 
 41 TAO,  Function value: 0.0207516,  Residual: 8.87523e-06 
 42 TAO,  Function value: 0.0207514,  Residual: 9.15186e-06 
 43 TAO,  Function value: 0.020749,  Residual: 7.80513e-06 
 44 TAO,  Function value: 0.0207462,  Residual: 8.5418e-06 
 45 TAO,  Function value: 0.0207437,  Residual: 8.31837e-06 
 46 TAO,  Function value: 0.0207401,  Residual: 5.93178e-06 
 47 TAO,  Function value: 0.0207389,  Residual: 7.81297e-06 
 48 TAO,  Function value: 0.0207366,  Residual: 5.76061e-06 
 49 TAO,  Function value: 0.0207353,  Residual: 5.26534e-06 
 50 TAO,  Function value: 0.0207339,  Residual: 5.93592e-06 
 51 TAO,  Function value: 0.0207321,  Residual: 5.04755e-06 
 52 TAO,  Function value: 0.0207321,  Residual: 7.33006e-06 
 53 TAO,  Function value: 0.0207301,  Residual: 4.68264e-06 
 54 TAO,  Function value: 0.0207286,  Residual: 3.84702e-06 
 55 TAO,  Function value: 0.0207274,  Residual: 4.39928e-06 
 56 TAO,  Function value: 0.0207261,  Residual: 4.02733e-06 
 57 TAO,  Function value: 0.0207251,  Residual: 4.64936e-06 
 58 TAO,  Function value: 0.0207243,  Residual: 5.57106e-06 
 59 TAO,  Function value: 0.0207232,  Residual: 4.07312e-06 
 60 TAO,  Function value: 0.0207221,  Residual: 3.25775e-06 
 61 TAO,  Function value: 0.0207215,  Residual: 2.68627e-06 
 62 TAO,  Function value: 0.0207212,  Residual: 2.85492e-06 
 63 TAO,  Function value: 0.0207209,  Residual: 3.28217e-06 
 64 TAO,  Function value: 0.0207208,  Residual: 4.05116e-06 
 65 TAO,  Function value: 0.0207206,  Residual: 3.8426e-06 
 66 TAO,  Function value: 0.0207202,  Residual: 3.01294e-06 
