  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0306478,  Residual: 0.00163602 
  1 TAO,  Function value: 0.0303984,  Residual: 0.00142437 
  2 TAO,  Function value: 0.0292346,  Residual: 0.000461834 
  3 TAO,  Function value: 0.028898,  Residual: 0.000352529 
  4 TAO,  Function value: 0.027868,  Residual: 0.000254128 
  5 TAO,  Function value: 0.0261918,  Residual: 0.000219395 
  6 TAO,  Function value: 0.0257966,  Residual: 0.00168553 
  7 TAO,  Function value: 0.0247389,  Residual: 0.000201055 
  8 TAO,  Function value: 0.0243758,  Residual: 0.000207828 
  9 TAO,  Function value: 0.0239488,  Residual: 0.000241696 
 10 TAO,  Function value: 0.0234833,  Residual: 0.000166004 
 11 TAO,  Function value: 0.0230034,  Residual: 0.000156812 
 12 TAO,  Function value: 0.0227346,  Residual: 0.000129132 
 13 TAO,  Function value: 0.0225564,  Residual: 0.00010393 
 14 TAO,  Function value: 0.0224407,  Residual: 0.000122933 
 15 TAO,  Function value: 0.0222741,  Residual: 0.000106408 
 16 TAO,  Function value: 0.0221167,  Residual: 0.000111588 
 17 TAO,  Function value: 0.0220165,  Residual: 0.000126887 
 18 TAO,  Function value: 0.0218877,  Residual: 9.3834e-05 
 19 TAO,  Function value: 0.0218202,  Residual: 8.75397e-05 
 20 TAO,  Function value: 0.0216916,  Residual: 9.31169e-05 
 21 TAO,  Function value: 0.0215429,  Residual: 7.51088e-05 
 22 TAO,  Function value: 0.0214282,  Residual: 6.51009e-05 
 23 TAO,  Function value: 0.0212758,  Residual: 6.90021e-05 
 24 TAO,  Function value: 0.0212197,  Residual: 5.53887e-05 
 25 TAO,  Function value: 0.0211973,  Residual: 5.57356e-05 
 26 TAO,  Function value: 0.0211342,  Residual: 4.54264e-05 
 27 TAO,  Function value: 0.0210715,  Residual: 3.75774e-05 
 28 TAO,  Function value: 0.0210428,  Residual: 3.61262e-05 
 29 TAO,  Function value: 0.0210266,  Residual: 3.0101e-05 
 30 TAO,  Function value: 0.0210177,  Residual: 2.86327e-05 
 31 TAO,  Function value: 0.0209965,  Residual: 2.41082e-05 
 32 TAO,  Function value: 0.0209714,  Residual: 2.76406e-05 
 33 TAO,  Function value: 0.0209595,  Residual: 2.83601e-05 
 34 TAO,  Function value: 0.0209456,  Residual: 2.36277e-05 
 35 TAO,  Function value: 0.0209271,  Residual: 2.88797e-05 
 36 TAO,  Function value: 0.0209125,  Residual: 2.99947e-05 
 37 TAO,  Function value: 0.0208903,  Residual: 3.04467e-05 
 38 TAO,  Function value: 0.020866,  Residual: 2.54843e-05 
 39 TAO,  Function value: 0.0208515,  Residual: 2.27756e-05 
 40 TAO,  Function value: 0.0208414,  Residual: 2.09899e-05 
 41 TAO,  Function value: 0.0208321,  Residual: 1.89406e-05 
 42 TAO,  Function value: 0.020821,  Residual: 1.71751e-05 
 43 TAO,  Function value: 0.0208081,  Residual: 1.16965e-05 
 44 TAO,  Function value: 0.0208025,  Residual: 1.26593e-05 
 45 TAO,  Function value: 0.0207982,  Residual: 9.88042e-06 
 46 TAO,  Function value: 0.0207962,  Residual: 9.42043e-06 
 47 TAO,  Function value: 0.0207934,  Residual: 9.65406e-06 
 48 TAO,  Function value: 0.0207886,  Residual: 8.4277e-06 
 49 TAO,  Function value: 0.020785,  Residual: 9.11707e-06 
 50 TAO,  Function value: 0.0207824,  Residual: 7.69004e-06 
 51 TAO,  Function value: 0.0207813,  Residual: 5.9495e-06 
 52 TAO,  Function value: 0.0207798,  Residual: 4.66165e-06 
 53 TAO,  Function value: 0.0207783,  Residual: 4.5875e-06 
 54 TAO,  Function value: 0.0207771,  Residual: 4.73326e-06 
 55 TAO,  Function value: 0.0207758,  Residual: 5.62359e-06 
 56 TAO,  Function value: 0.0207753,  Residual: 6.19645e-06 
 57 TAO,  Function value: 0.0207741,  Residual: 5.59791e-06 
 58 TAO,  Function value: 0.0207722,  Residual: 6.07535e-06 
 59 TAO,  Function value: 0.0207705,  Residual: 9.53434e-06 
 60 TAO,  Function value: 0.0207703,  Residual: 1.02156e-05 
 61 TAO,  Function value: 0.0207703,  Residual: 1.01457e-05 
 62 TAO,  Function value: 0.0207693,  Residual: 9.1773e-06 
 63 TAO,  Function value: 0.0207691,  Residual: 9.44906e-06 
 64 TAO,  Function value: 0.0207665,  Residual: 6.96791e-06 
 65 TAO,  Function value: 0.020765,  Residual: 6.78996e-06 
 66 TAO,  Function value: 0.0207646,  Residual: 6.92402e-06 
 67 TAO,  Function value: 0.0207637,  Residual: 7.14855e-06 
 68 TAO,  Function value: 0.0207622,  Residual: 6.82922e-06 
 69 TAO,  Function value: 0.0207615,  Residual: 9.47617e-06 
 70 TAO,  Function value: 0.0207596,  Residual: 8.02393e-06 
 71 TAO,  Function value: 0.0207583,  Residual: 6.35403e-06 
 72 TAO,  Function value: 0.0207575,  Residual: 6.6417e-06 
 73 TAO,  Function value: 0.0207565,  Residual: 6.34817e-06 
