  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0292862,  Residual: 0.00069096 
  1 TAO,  Function value: 0.0292391,  Residual: 0.000671739 
  2 TAO,  Function value: 0.027799,  Residual: 0.000291288 
  3 TAO,  Function value: 0.026988,  Residual: 0.000237079 
  4 TAO,  Function value: 0.0247413,  Residual: 0.000226309 
  5 TAO,  Function value: 0.0239453,  Residual: 0.00022869 
  6 TAO,  Function value: 0.0233067,  Residual: 0.000251246 
  7 TAO,  Function value: 0.0229263,  Residual: 0.00013366 
  8 TAO,  Function value: 0.0227736,  Residual: 0.000121961 
  9 TAO,  Function value: 0.0225701,  Residual: 0.000189615 
 10 TAO,  Function value: 0.0224317,  Residual: 0.000142028 
 11 TAO,  Function value: 0.022342,  Residual: 0.000132455 
 12 TAO,  Function value: 0.0221936,  Residual: 0.00011265 
 13 TAO,  Function value: 0.0220334,  Residual: 0.00010532 
 14 TAO,  Function value: 0.0218883,  Residual: 0.000101038 
 15 TAO,  Function value: 0.0217665,  Residual: 9.00858e-05 
 16 TAO,  Function value: 0.0216902,  Residual: 8.73667e-05 
 17 TAO,  Function value: 0.0215556,  Residual: 7.97474e-05 
 18 TAO,  Function value: 0.0214259,  Residual: 8.72574e-05 
 19 TAO,  Function value: 0.0213306,  Residual: 6.08349e-05 
 20 TAO,  Function value: 0.0212701,  Residual: 5.42064e-05 
 21 TAO,  Function value: 0.0211934,  Residual: 6.42397e-05 
 22 TAO,  Function value: 0.0211675,  Residual: 4.66222e-05 
 23 TAO,  Function value: 0.0211371,  Residual: 3.71605e-05 
 24 TAO,  Function value: 0.0210931,  Residual: 2.77711e-05 
 25 TAO,  Function value: 0.0210571,  Residual: 3.56438e-05 
 26 TAO,  Function value: 0.0210367,  Residual: 4.61356e-05 
 27 TAO,  Function value: 0.0209961,  Residual: 4.16549e-05 
 28 TAO,  Function value: 0.0209877,  Residual: 3.6501e-05 
 29 TAO,  Function value: 0.0209865,  Residual: 3.68968e-05 
 30 TAO,  Function value: 0.0209764,  Residual: 3.4968e-05 
 31 TAO,  Function value: 0.0209298,  Residual: 2.56029e-05 
 32 TAO,  Function value: 0.0209296,  Residual: 2.58376e-05 
 33 TAO,  Function value: 0.0209069,  Residual: 1.38466e-05 
 34 TAO,  Function value: 0.020898,  Residual: 1.40017e-05 
 35 TAO,  Function value: 0.0208867,  Residual: 1.85653e-05 
 36 TAO,  Function value: 0.0208737,  Residual: 1.41136e-05 
 37 TAO,  Function value: 0.0208669,  Residual: 1.49024e-05 
 38 TAO,  Function value: 0.0208646,  Residual: 1.60939e-05 
 39 TAO,  Function value: 0.0208619,  Residual: 1.62818e-05 
 40 TAO,  Function value: 0.0208595,  Residual: 1.78825e-05 
 41 TAO,  Function value: 0.02085,  Residual: 1.55448e-05 
 42 TAO,  Function value: 0.0208399,  Residual: 1.34687e-05 
 43 TAO,  Function value: 0.0208389,  Residual: 1.77815e-05 
 44 TAO,  Function value: 0.0208371,  Residual: 1.72363e-05 
 45 TAO,  Function value: 0.0208369,  Residual: 1.73644e-05 
 46 TAO,  Function value: 0.0208289,  Residual: 1.27743e-05 
 47 TAO,  Function value: 0.0208214,  Residual: 1.05228e-05 
 48 TAO,  Function value: 0.0208155,  Residual: 9.43893e-06 
 49 TAO,  Function value: 0.0208112,  Residual: 6.99255e-06 
 50 TAO,  Function value: 0.0208082,  Residual: 8.84403e-06 
 51 TAO,  Function value: 0.0208049,  Residual: 6.9319e-06 
 52 TAO,  Function value: 0.0208027,  Residual: 9.61277e-06 
 53 TAO,  Function value: 0.0208001,  Residual: 6.27132e-06 
 54 TAO,  Function value: 0.0207984,  Residual: 5.11321e-06 
 55 TAO,  Function value: 0.0207979,  Residual: 5.91242e-06 
 56 TAO,  Function value: 0.0207967,  Residual: 4.77364e-06 
 57 TAO,  Function value: 0.0207958,  Residual: 4.80001e-06 
 58 TAO,  Function value: 0.0207949,  Residual: 7.82266e-06 
 59 TAO,  Function value: 0.0207933,  Residual: 6.61082e-06 
 60 TAO,  Function value: 0.0207924,  Residual: 7.88387e-06 
 61 TAO,  Function value: 0.0207923,  Residual: 8.6832e-06 
 62 TAO,  Function value: 0.0207912,  Residual: 6.94321e-06 
 63 TAO,  Function value: 0.0207898,  Residual: 4.77466e-06 
 64 TAO,  Function value: 0.0207895,  Residual: 0.000293424 
 65 TAO,  Function value: 0.0207891,  Residual: 7.31366e-06 
 66 TAO,  Function value: 0.020789,  Residual: 5.28547e-06 
 67 TAO,  Function value: 0.0207889,  Residual: 8.58525e-05 
 68 TAO,  Function value: 0.0207889,  Residual: 6.40066e-06 
 69 TAO,  Function value: 0.0207889,  Residual: 0.000280633 
 70 TAO,  Function value: 0.0207889,  Residual: 0.000280627 
 71 TAO,  Function value: 0.0207882,  Residual: 0.000200591 
 72 TAO,  Function value: 0.0207882,  Residual: 5.55803e-06 
 73 TAO,  Function value: 0.0207882,  Residual: 0.000218218 
 74 TAO,  Function value: 0.0207881,  Residual: 0.000237869 
 75 TAO,  Function value: 0.0207879,  Residual: 0.000232061 
 76 TAO,  Function value: 0.0207877,  Residual: 2.48751e-06 
 77 TAO,  Function value: 0.0207877,  Residual: 0.000179337 
 78 TAO,  Function value: 0.0207876,  Residual: 0.000179157 
 79 TAO,  Function value: 0.0207876,  Residual: 0.000179691 
 80 TAO,  Function value: 0.0207872,  Residual: 0.000177965 
 81 TAO,  Function value: 0.0207869,  Residual: 4.78153e-06 
 82 TAO,  Function value: 0.0207869,  Residual: 0.000232744 
 83 TAO,  Function value: 0.0207869,  Residual: 0.000232721 
 84 TAO,  Function value: 0.0207869,  Residual: 4.69401e-06 
 85 TAO,  Function value: 0.0207868,  Residual: 0.000177935 
 86 TAO,  Function value: 0.0207867,  Residual: 0.000292897 
 87 TAO,  Function value: 0.0207867,  Residual: 0.000282501 
 88 TAO,  Function value: 0.0207867,  Residual: 0.000279468 
 89 TAO,  Function value: 0.0207867,  Residual: 0.000274253 
 90 TAO,  Function value: 0.0207867,  Residual: 0.00020232 
 91 TAO,  Function value: 0.0207867,  Residual: 0.000227592 
 92 TAO,  Function value: 0.0207866,  Residual: 0.000134699 
 93 TAO,  Function value: 0.0207866,  Residual: 7.97377e-05 
 94 TAO,  Function value: 0.0207866,  Residual: 1.91271e-06 
 95 TAO,  Function value: 0.0207866,  Residual: 0.000281924 
 96 TAO,  Function value: 0.0207866,  Residual: 0.000282728 
 97 TAO,  Function value: 0.0207866,  Residual: 1.66391e-06 
 98 TAO,  Function value: 0.0207866,  Residual: 7.74551e-05 
 99 TAO,  Function value: 0.0207865,  Residual: 0.000288366 
100 TAO,  Function value: 0.0207865,  Residual: 0.00029043 
101 TAO,  Function value: 0.0207865,  Residual: 0.000183172 
102 TAO,  Function value: 0.0207865,  Residual: 0.000107019 
103 TAO,  Function value: 0.0207865,  Residual: 0.00018584 
104 TAO,  Function value: 0.0207865,  Residual: 0.000189684 
105 TAO,  Function value: 0.0207865,  Residual: 0.000158165 
106 TAO,  Function value: 0.0207865,  Residual: 0.000197801 
107 TAO,  Function value: 0.0207865,  Residual: 0.000151701 
108 TAO,  Function value: 0.0207865,  Residual: 0.000168939 
109 TAO,  Function value: 0.0207865,  Residual: 0.000165159 
110 TAO,  Function value: 0.0207865,  Residual: 0.000167836 
111 TAO,  Function value: 0.0207865,  Residual: 9.04625e-05 
112 TAO,  Function value: 0.0207865,  Residual: 0.000134761 
113 TAO,  Function value: 0.0207865,  Residual: 9.51292e-05 
114 TAO,  Function value: 0.0207865,  Residual: 0.000115047 
115 TAO,  Function value: 0.0207865,  Residual: 3.11095e-05 
116 TAO,  Function value: 0.0207864,  Residual: 2.29048e-05 
117 TAO,  Function value: 0.0207862,  Residual: 8.48627e-05 
118 TAO,  Function value: 0.0207861,  Residual: 0.000105949 
119 TAO,  Function value: 0.0207861,  Residual: 9.72894e-05 
120 TAO,  Function value: 0.0207859,  Residual: 4.54102e-05 
121 TAO,  Function value: 0.0207858,  Residual: 3.56228e-05 
122 TAO,  Function value: 0.0207857,  Residual: 3.55511e-05 
123 TAO,  Function value: 0.0207855,  Residual: 2.29011e-05 
124 TAO,  Function value: 0.0207855,  Residual: 2.23065e-05 
125 TAO,  Function value: 0.0207854,  Residual: 1.98855e-05 
126 TAO,  Function value: 0.0207854,  Residual: 1.74734e-05 
127 TAO,  Function value: 0.0207854,  Residual: 1.58671e-05 
128 TAO,  Function value: 0.0207853,  Residual: 1.21911e-05 
129 TAO,  Function value: 0.0207853,  Residual: 1.16989e-05 
130 TAO,  Function value: 0.0207851,  Residual: 1.4413e-05 
131 TAO,  Function value: 0.020785,  Residual: 1.30752e-05 
132 TAO,  Function value: 0.0207848,  Residual: 1.09437e-05 
133 TAO,  Function value: 0.0207848,  Residual: 1.09322e-05 
134 TAO,  Function value: 0.0207848,  Residual: 9.62334e-06 
135 TAO,  Function value: 0.0207847,  Residual: 1.04155e-05 
136 TAO,  Function value: 0.0207846,  Residual: 9.84363e-06 
137 TAO,  Function value: 0.0207845,  Residual: 1.06073e-05 
138 TAO,  Function value: 0.0207844,  Residual: 9.86706e-06 
139 TAO,  Function value: 0.0207842,  Residual: 4.63811e-06 
140 TAO,  Function value: 0.0207841,  Residual: 1.03625e-05 
141 TAO,  Function value: 0.020784,  Residual: 2.00762e-06 
142 TAO,  Function value: 0.0207839,  Residual: 1.75394e-06 
143 TAO,  Function value: 0.0207839,  Residual: 1.93224e-06 
144 TAO,  Function value: 0.0207839,  Residual: 1.72255e-06 
145 TAO,  Function value: 0.0207839,  Residual: 1.7328e-06 
146 TAO,  Function value: 0.0207839,  Residual: 1.7864e-06 
147 TAO,  Function value: 0.0207839,  Residual: 1.93728e-06 
148 TAO,  Function value: 0.0207838,  Residual: 1.99233e-06 
149 TAO,  Function value: 0.0207838,  Residual: 2.04872e-06 
150 TAO,  Function value: 0.0207838,  Residual: 2.38506e-06 
151 TAO,  Function value: 0.0207837,  Residual: 2.57071e-06 
152 TAO,  Function value: 0.0207837,  Residual: 2.44776e-06 
153 TAO,  Function value: 0.0207837,  Residual: 2.31126e-06 
154 TAO,  Function value: 0.0207837,  Residual: 2.40163e-06 
155 TAO,  Function value: 0.0207837,  Residual: 2.35673e-06 
156 TAO,  Function value: 0.0207837,  Residual: 2.23011e-06 
157 TAO,  Function value: 0.0207835,  Residual: 1.97122e-06 
158 TAO,  Function value: 0.0207833,  Residual: 2.651e-06 
159 TAO,  Function value: 0.0207832,  Residual: 2.78231e-06 
160 TAO,  Function value: 0.0207832,  Residual: 2.86782e-06 
161 TAO,  Function value: 0.0207831,  Residual: 2.50391e-06 
162 TAO,  Function value: 0.020783,  Residual: 2.46057e-06 
163 TAO,  Function value: 0.0207829,  Residual: 2.7029e-06 
164 TAO,  Function value: 0.0207829,  Residual: 2.84248e-06 
165 TAO,  Function value: 0.0207829,  Residual: 2.79765e-06 
166 TAO,  Function value: 0.0207828,  Residual: 2.88721e-06 
167 TAO,  Function value: 0.0207828,  Residual: 3.19296e-06 
168 TAO,  Function value: 0.0207826,  Residual: 3.57688e-06 
169 TAO,  Function value: 0.0207825,  Residual: 3.73083e-06 
170 TAO,  Function value: 0.0207824,  Residual: 3.80126e-06 
171 TAO,  Function value: 0.0207822,  Residual: 3.86196e-06 
172 TAO,  Function value: 0.0207821,  Residual: 4.21528e-06 
173 TAO,  Function value: 0.020782,  Residual: 3.7703e-06 
174 TAO,  Function value: 0.0207819,  Residual: 3.59586e-06 
175 TAO,  Function value: 0.0207817,  Residual: 3.75941e-06 
176 TAO,  Function value: 0.0207816,  Residual: 4.39542e-06 
177 TAO,  Function value: 0.0207815,  Residual: 3.96939e-06 
178 TAO,  Function value: 0.0207813,  Residual: 3.7295e-06 
179 TAO,  Function value: 0.0207811,  Residual: 3.49717e-06 
180 TAO,  Function value: 0.020781,  Residual: 3.91761e-06 
181 TAO,  Function value: 0.0207808,  Residual: 3.5769e-06 
182 TAO,  Function value: 0.0207807,  Residual: 3.34464e-06 
183 TAO,  Function value: 0.0207803,  Residual: 3.48459e-06 
184 TAO,  Function value: 0.0207801,  Residual: 4.10936e-06 
185 TAO,  Function value: 0.0207799,  Residual: 4.26427e-06 
186 TAO,  Function value: 0.0207797,  Residual: 4.97271e-06 
187 TAO,  Function value: 0.0207796,  Residual: 5.30479e-06 
188 TAO,  Function value: 0.0207794,  Residual: 4.88926e-06 
189 TAO,  Function value: 0.0207789,  Residual: 4.7093e-06 
190 TAO,  Function value: 0.0207786,  Residual: 5.12231e-06 
191 TAO,  Function value: 0.0207781,  Residual: 5.34348e-06 
192 TAO,  Function value: 0.0207776,  Residual: 5.13308e-06 
193 TAO,  Function value: 0.0207773,  Residual: 4.50934e-06 
194 TAO,  Function value: 0.020777,  Residual: 4.36965e-06 
195 TAO,  Function value: 0.0207766,  Residual: 5.15928e-06 
196 TAO,  Function value: 0.0207761,  Residual: 5.67265e-06 
197 TAO,  Function value: 0.0207757,  Residual: 5.33103e-06 
198 TAO,  Function value: 0.0207752,  Residual: 5.29024e-06 
199 TAO,  Function value: 0.0207748,  Residual: 5.73882e-06 
200 TAO,  Function value: 0.0207744,  Residual: 5.58907e-06 
201 TAO,  Function value: 0.020774,  Residual: 5.38484e-06 
202 TAO,  Function value: 0.0207736,  Residual: 5.5128e-06 
203 TAO,  Function value: 0.0207732,  Residual: 5.52599e-06 
204 TAO,  Function value: 0.0207727,  Residual: 5.28811e-06 
205 TAO,  Function value: 0.0207722,  Residual: 5.64499e-06 
206 TAO,  Function value: 0.0207719,  Residual: 5.91207e-06 
207 TAO,  Function value: 0.0207716,  Residual: 5.99436e-06 
208 TAO,  Function value: 0.0207713,  Residual: 5.7621e-06 
209 TAO,  Function value: 0.0207707,  Residual: 5.6965e-06 
210 TAO,  Function value: 0.0207705,  Residual: 6.45345e-06 
211 TAO,  Function value: 0.0207703,  Residual: 5.94652e-06 
212 TAO,  Function value: 0.0207702,  Residual: 5.87386e-06 
213 TAO,  Function value: 0.0207699,  Residual: 5.93933e-06 
214 TAO,  Function value: 0.0207697,  Residual: 6.07949e-06 
215 TAO,  Function value: 0.0207695,  Residual: 6.26996e-06 
216 TAO,  Function value: 0.020769,  Residual: 6.78894e-06 
217 TAO,  Function value: 0.0207683,  Residual: 8.58852e-06 
218 TAO,  Function value: 0.0207681,  Residual: 8.86237e-06 
219 TAO,  Function value: 0.0207681,  Residual: 9.08587e-06 
220 TAO,  Function value: 0.0207679,  Residual: 9.06749e-06 
