  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0293673,  Residual: 0.000450234 
  1 TAO,  Function value: 0.0290242,  Residual: 0.00031673 
  2 TAO,  Function value: 0.0283318,  Residual: 0.000201373 
  3 TAO,  Function value: 0.0274186,  Residual: 0.00013626 
  4 TAO,  Function value: 0.0259939,  Residual: 0.000106387 
  5 TAO,  Function value: 0.0245721,  Residual: 0.000283362 
  6 TAO,  Function value: 0.0238731,  Residual: 0.000102749 
  7 TAO,  Function value: 0.0235767,  Residual: 8.18484e-05 
  8 TAO,  Function value: 0.0234024,  Residual: 0.000391821 
  9 TAO,  Function value: 0.0228307,  Residual: 9.04635e-05 
 10 TAO,  Function value: 0.0227624,  Residual: 7.4874e-05 
 11 TAO,  Function value: 0.0226326,  Residual: 6.38877e-05 
 12 TAO,  Function value: 0.0224136,  Residual: 7.95692e-05 
 13 TAO,  Function value: 0.022293,  Residual: 6.23382e-05 
 14 TAO,  Function value: 0.0221278,  Residual: 5.66206e-05 
 15 TAO,  Function value: 0.021947,  Residual: 9.27736e-05 
 16 TAO,  Function value: 0.0218002,  Residual: 5.49295e-05 
 17 TAO,  Function value: 0.0217711,  Residual: 5.4988e-05 
 18 TAO,  Function value: 0.0216774,  Residual: 5.01854e-05 
 19 TAO,  Function value: 0.0214814,  Residual: 5.42704e-05 
 20 TAO,  Function value: 0.0213758,  Residual: 5.84006e-05 
 21 TAO,  Function value: 0.0212403,  Residual: 4.02865e-05 
 22 TAO,  Function value: 0.021126,  Residual: 3.71766e-05 
 23 TAO,  Function value: 0.0209379,  Residual: 5.46742e-05 
 24 TAO,  Function value: 0.0208443,  Residual: 4.05032e-05 
 25 TAO,  Function value: 0.0207672,  Residual: 3.10869e-05 
 26 TAO,  Function value: 0.0206763,  Residual: 2.8257e-05 
 27 TAO,  Function value: 0.0205899,  Residual: 2.34444e-05 
 28 TAO,  Function value: 0.0205373,  Residual: 2.18761e-05 
 29 TAO,  Function value: 0.0204913,  Residual: 1.90269e-05 
 30 TAO,  Function value: 0.0204544,  Residual: 1.62382e-05 
 31 TAO,  Function value: 0.0204276,  Residual: 1.49999e-05 
 32 TAO,  Function value: 0.020405,  Residual: 1.26223e-05 
 33 TAO,  Function value: 0.0203826,  Residual: 1.1732e-05 
 34 TAO,  Function value: 0.0203638,  Residual: 1.14678e-05 
 35 TAO,  Function value: 0.0203498,  Residual: 9.1011e-06 
 36 TAO,  Function value: 0.0203443,  Residual: 8.67493e-06 
 37 TAO,  Function value: 0.0203369,  Residual: 7.92824e-06 
 38 TAO,  Function value: 0.0203245,  Residual: 8.41322e-06 
 39 TAO,  Function value: 0.0203178,  Residual: 9.97721e-06 
 40 TAO,  Function value: 0.0203113,  Residual: 6.83148e-06 
 41 TAO,  Function value: 0.0203046,  Residual: 6.50389e-06 
 42 TAO,  Function value: 0.0202989,  Residual: 8.89097e-06 
 43 TAO,  Function value: 0.0202943,  Residual: 8.40346e-06 
 44 TAO,  Function value: 0.020286,  Residual: 8.09284e-06 
 45 TAO,  Function value: 0.0202767,  Residual: 1.63579e-05 
 46 TAO,  Function value: 0.020272,  Residual: 1.12824e-05 
 47 TAO,  Function value: 0.0202709,  Residual: 1.11945e-05 
 48 TAO,  Function value: 0.020267,  Residual: 1.08455e-05 
 49 TAO,  Function value: 0.0202552,  Residual: 1.26385e-05 
 50 TAO,  Function value: 0.0202492,  Residual: 1.21666e-05 
 51 TAO,  Function value: 0.0202331,  Residual: 8.75311e-06 
 52 TAO,  Function value: 0.0202211,  Residual: 8.34584e-06 
 53 TAO,  Function value: 0.020215,  Residual: 8.52168e-06 
 54 TAO,  Function value: 0.020209,  Residual: 7.15177e-06 
 55 TAO,  Function value: 0.0202042,  Residual: 6.91975e-06 
 56 TAO,  Function value: 0.0201967,  Residual: 6.53733e-06 
 57 TAO,  Function value: 0.0201895,  Residual: 6.30803e-06 
 58 TAO,  Function value: 0.0201847,  Residual: 6.36928e-06 
 59 TAO,  Function value: 0.0201797,  Residual: 6.05659e-06 
 60 TAO,  Function value: 0.0201751,  Residual: 7.50501e-06 
 61 TAO,  Function value: 0.0201732,  Residual: 7.37529e-06 
 62 TAO,  Function value: 0.0201699,  Residual: 6.51461e-06 
 63 TAO,  Function value: 0.020167,  Residual: 6.64136e-06 
 64 TAO,  Function value: 0.0201595,  Residual: 5.37909e-06 
 65 TAO,  Function value: 0.0201535,  Residual: 4.82904e-06 
 66 TAO,  Function value: 0.02015,  Residual: 3.65502e-06 
 67 TAO,  Function value: 0.0201486,  Residual: 2.98568e-06 
 68 TAO,  Function value: 0.0201468,  Residual: 2.48069e-06 
 69 TAO,  Function value: 0.020145,  Residual: 2.47026e-06 
 70 TAO,  Function value: 0.0201438,  Residual: 3.1479e-06 
 71 TAO,  Function value: 0.0201429,  Residual: 2.04854e-06 
 72 TAO,  Function value: 0.020142,  Residual: 2.08504e-06 
 73 TAO,  Function value: 0.0201412,  Residual: 2.9751e-06 
 74 TAO,  Function value: 0.0201401,  Residual: 3.35271e-06 
 75 TAO,  Function value: 0.0201392,  Residual: 2.7592e-06 
 76 TAO,  Function value: 0.020138,  Residual: 2.65039e-06 
 77 TAO,  Function value: 0.0201379,  Residual: 3.22181e-06 
 78 TAO,  Function value: 0.0201379,  Residual: 2.95548e-06 
 79 TAO,  Function value: 0.0201371,  Residual: 2.66508e-06 
 80 TAO,  Function value: 0.0201355,  Residual: 2.46602e-06 
 81 TAO,  Function value: 0.0201347,  Residual: 2.03252e-06 
 82 TAO,  Function value: 0.020134,  Residual: 1.92133e-06 
 83 TAO,  Function value: 0.0201332,  Residual: 1.77477e-06 
 84 TAO,  Function value: 0.0201324,  Residual: 1.86873e-06 
 85 TAO,  Function value: 0.0201319,  Residual: 2.17257e-06 
 86 TAO,  Function value: 0.0201315,  Residual: 1.7144e-06 
 87 TAO,  Function value: 0.0201311,  Residual: 2.02884e-06 
 88 TAO,  Function value: 0.0201305,  Residual: 2.04018e-06 
 89 TAO,  Function value: 0.0201299,  Residual: 2.06196e-06 
 90 TAO,  Function value: 0.0201293,  Residual: 1.91139e-06 
 91 TAO,  Function value: 0.0201289,  Residual: 1.91741e-06 
 92 TAO,  Function value: 0.0201288,  Residual: 2.23798e-06 
 93 TAO,  Function value: 0.0201287,  Residual: 2.36047e-06 
 94 TAO,  Function value: 0.0201283,  Residual: 1.85792e-06 
 95 TAO,  Function value: 0.0201276,  Residual: 1.62082e-06 
 96 TAO,  Function value: 0.0201271,  Residual: 1.98747e-06 
 97 TAO,  Function value: 0.0201265,  Residual: 1.90487e-06 
 98 TAO,  Function value: 0.020126,  Residual: 1.07609e-06 
 99 TAO,  Function value: 0.0201257,  Residual: 9.53906e-07 
100 TAO,  Function value: 0.0201253,  Residual: 1.21852e-06 
101 TAO,  Function value: 0.0201252,  Residual: 1.58882e-06 
102 TAO,  Function value: 0.0201248,  Residual: 1.3878e-06 
103 TAO,  Function value: 0.0201243,  Residual: 1.01358e-06 
104 TAO,  Function value: 0.0201241,  Residual: 1.25104e-06 
105 TAO,  Function value: 0.0201239,  Residual: 1.08088e-06 
106 TAO,  Function value: 0.0201236,  Residual: 1.06907e-06 
107 TAO,  Function value: 0.0201233,  Residual: 1.19631e-06 
108 TAO,  Function value: 0.0201232,  Residual: 1.68422e-06 
109 TAO,  Function value: 0.0201232,  Residual: 1.64096e-06 
110 TAO,  Function value: 0.0201232,  Residual: 1.50407e-06 
111 TAO,  Function value: 0.020123,  Residual: 1.17313e-06 
112 TAO,  Function value: 0.0201227,  Residual: 1.24143e-06 
113 TAO,  Function value: 0.0201224,  Residual: 8.77093e-07 
114 TAO,  Function value: 0.0201221,  Residual: 8.91396e-07 
115 TAO,  Function value: 0.0201221,  Residual: 1.43015e-06 
116 TAO,  Function value: 0.0201219,  Residual: 7.16433e-07 
117 TAO,  Function value: 0.0201218,  Residual: 7.89242e-07 
118 TAO,  Function value: 0.0201217,  Residual: 6.81686e-07 
119 TAO,  Function value: 0.0201216,  Residual: 6.55707e-07 
120 TAO,  Function value: 0.0201216,  Residual: 4.17074e-07 
121 TAO,  Function value: 0.0201215,  Residual: 3.26158e-07 
122 TAO,  Function value: 0.0201215,  Residual: 3.66752e-07 
123 TAO,  Function value: 0.0201215,  Residual: 3.57023e-07 
124 TAO,  Function value: 0.0201214,  Residual: 3.4035e-07 
125 TAO,  Function value: 0.0201214,  Residual: 3.52472e-07 
126 TAO,  Function value: 0.0201214,  Residual: 6.51709e-07 
127 TAO,  Function value: 0.0201213,  Residual: 5.84732e-07 
128 TAO,  Function value: 0.0201213,  Residual: 9.73944e-07 
129 TAO,  Function value: 0.0201212,  Residual: 8.57834e-07 
130 TAO,  Function value: 0.0201211,  Residual: 6.83039e-07 
131 TAO,  Function value: 0.0201211,  Residual: 7.14818e-07 
132 TAO,  Function value: 0.020121,  Residual: 8.48663e-07 
133 TAO,  Function value: 0.020121,  Residual: 8.83202e-07 
134 TAO,  Function value: 0.0201209,  Residual: 1.04808e-06 
135 TAO,  Function value: 0.0201208,  Residual: 9.4065e-07 
136 TAO,  Function value: 0.0201208,  Residual: 8.08635e-07 
137 TAO,  Function value: 0.0201207,  Residual: 7.78984e-07 
138 TAO,  Function value: 0.0201206,  Residual: 6.10926e-07 
139 TAO,  Function value: 0.0201205,  Residual: 7.847e-07 
140 TAO,  Function value: 0.0201204,  Residual: 9.6954e-07 
141 TAO,  Function value: 0.0201203,  Residual: 9.48022e-07 
142 TAO,  Function value: 0.0201202,  Residual: 6.99835e-07 
143 TAO,  Function value: 0.0201201,  Residual: 6.25016e-07 
144 TAO,  Function value: 0.0201201,  Residual: 7.01113e-07 
145 TAO,  Function value: 0.02012,  Residual: 8.22409e-07 
146 TAO,  Function value: 0.02012,  Residual: 7.18359e-07 
147 TAO,  Function value: 0.0201199,  Residual: 6.88434e-07 
148 TAO,  Function value: 0.0201199,  Residual: 7.70738e-07 
149 TAO,  Function value: 0.0201198,  Residual: 7.90214e-07 
150 TAO,  Function value: 0.0201197,  Residual: 6.35161e-07 
151 TAO,  Function value: 0.0201197,  Residual: 6.5542e-07 
152 TAO,  Function value: 0.0201196,  Residual: 6.45501e-07 
153 TAO,  Function value: 0.0201196,  Residual: 4.73689e-07 
154 TAO,  Function value: 0.0201196,  Residual: 0.000153325 
155 TAO,  Function value: 0.0201195,  Residual: 7.75816e-07 
156 TAO,  Function value: 0.0201195,  Residual: 6.34891e-07 
157 TAO,  Function value: 0.0201195,  Residual: 6.53035e-07 
158 TAO,  Function value: 0.0201195,  Residual: 3.08354e-06 
159 TAO,  Function value: 0.0201195,  Residual: 2.82592e-06 
160 TAO,  Function value: 0.0201195,  Residual: 0.000153287 
161 TAO,  Function value: 0.0201195,  Residual: 9.39717e-07 
162 TAO,  Function value: 0.0201195,  Residual: 3.02221e-06 
163 TAO,  Function value: 0.0201195,  Residual: 7.12957e-05 
164 TAO,  Function value: 0.0201195,  Residual: 0.000147856 
165 TAO,  Function value: 0.0201195,  Residual: 6.26128e-05 
166 TAO,  Function value: 0.0201195,  Residual: 0.000149838 
167 TAO,  Function value: 0.0201195,  Residual: 5.93411e-05 
168 TAO,  Function value: 0.0201195,  Residual: 5.12946e-05 
169 TAO,  Function value: 0.0201195,  Residual: 7.93041e-05 
